
  2FA impatient — 392 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
     15    34   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     49     8   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     57    20   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     77   184   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    261    16   1     Y     Y  none    Y  684337    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    277    17   1     Y     Y  none    Y  684337    Y  684337     ·    ·      1      ·      Y     ·  /auth/sign-in
    294   117   2     ·     ·  none    Y  684337    Y  684337     ·    ·      1      ·      Y     ·  /auth/sign-in
    411    16   2     Y     Y  none    Y  684337    Y  684337     ·    ·      1      ·      Y     ·  /auth/sign-in
    427    17   2     Y     Y  none    Y  684337    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    444   116   3     ·     ·  none    Y  684337    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    560  5967   3     ·     ·  pill    Y  684337    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 74 ms, longest single run 17 ms

