
  2FA impatient — 391 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
     12    27   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     39     7   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     46    16   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     62   184   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    246    16   1     Y     Y  none    Y  266344    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    262    17   1     Y     Y  none    Y  266344    Y  266344     ·    ·      1      ·      Y     ·  /auth/sign-in
    279   133   2     ·     ·  none    Y  266344    Y  266344     ·    ·      1      ·      Y     ·  /auth/sign-in
    412    17   2     Y     Y  none    Y  266344    Y  266344     ·    ·      1      ·      Y     ·  /auth/sign-in
    429    16   2     Y     Y  none    Y  266344    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    445   134   3     ·     ·  none    Y  266344    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    579  5933   3     ·     ·  pill    Y  266344    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 73 ms, longest single run 17 ms

