
  2FA at 6x CPU throttle — 1076 frames, 12 states

        t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      138    41   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      179    15   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      194   184   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
      378  5753   1     ·     ·  pill    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6131    16   1     Y     Y  none    Y  606381    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6147    47   1     Y     Y  none    Y  606381    Y  606381     ·    ·      1      ·      Y     ·  /auth/sign-in
     6194   137   2     ·     ·  none    Y  606381    Y  606381     ·    ·      1      ·      Y     ·  /auth/sign-in
     6331  5833   2     ·     ·  pill    Y  606381    Y  606381     ·    ·      1      ·      Y     ·  /auth/sign-in
    12164    41   2     Y     Y  none    Y  606381    Y  606381     ·    ·      1      ·      Y     ·  /auth/sign-in
    12205    43   2     Y     Y  none    Y  606381    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12248   128   3     ·     ·  none    Y  606381    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12376  5782   3     ·     ·  pill    Y  606381    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
  "Working…" total 188 ms, longest single run 47 ms

