
  2FA impatient — 391 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      4    44   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     48     9   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     57    14   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     71   184   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    255    16   1     Y     Y  none    Y  281431    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    271    16   1     Y     Y  none    Y  281431    Y  281431     ·    ·      1      ·      Y     ·  /auth/sign-in
    287   118   2     ·     ·  none    Y  281431    Y  281431     ·    ·      1      ·      Y     ·  /auth/sign-in
    405    16   2     Y     Y  none    Y  281431    Y  281431     ·    ·      1      ·      Y     ·  /auth/sign-in
    421    17   2     Y     Y  none    Y  281431    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    438   116   3     ·     ·  none    Y  281431    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    554  5966   3     ·     ·  pill    Y  281431    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 74 ms, longest single run 17 ms

