
  2FA impatient — 393 frames, 11 distinct states

      t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      6    42   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     48     7   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     55    19   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
     74   183   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    257    16   1     Y     Y  none    Y  984878    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
    273    17   1     Y     Y  none    Y  984878    Y  984878     ·    ·      1      ·      Y     ·  /auth/sign-in
    290   133   2     ·     ·  none    Y  984878    Y  984878     ·    ·      1      ·      Y     ·  /auth/sign-in
    423    17   2     Y     Y  none    Y  984878    Y  984878     ·    ·      1      ·      Y     ·  /auth/sign-in
    440    17   2     Y     Y  none    Y  984878    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    457   133   3     ·     ·  none    Y  984878    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    590  5949   3     ·     ·  pill    Y  984878    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in

  "Working…" total 74 ms, longest single run 17 ms

