
  2FA at 6x CPU throttle — 1071 frames, 12 states

        t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
      169    51   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      220    11   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      231   182   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
      413  5754   1     ·     ·  pill    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6167    23   1     Y     Y  none    Y  471693    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6190    51   1     Y     Y  none    Y  471693    Y  471693     ·    ·      1      ·      Y     ·  /auth/sign-in
     6241   146   2     ·     ·  none    Y  471693    Y  471693     ·    ·      1      ·      Y     ·  /auth/sign-in
     6387  5796   2     ·     ·  pill    Y  471693    Y  471693     ·    ·      1      ·      Y     ·  /auth/sign-in
    12183    29   2     Y     Y  none    Y  471693    Y  471693     ·    ·      1      ·      Y     ·  /auth/sign-in
    12212    55   2     Y     Y  none    Y  471693    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12267   129   3     ·     ·  none    Y  471693    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12396  5779   3     ·     ·  pill    Y  471693    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
  "Working…" total 209 ms, longest single run 55 ms

