
  2FA at 6x CPU throttle — 1069 frames, 13 states

        t    ms  st  work  shld   way  sim   phone  dlg   typed  busy  err  scrim  recap  panel  done           path
        7   185   0     ·     ·  pill    ·       ·    ·       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      192    54   0     Y     Y  none    ·       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      246    32   1     ·     ·  none    Y       ·    Y       ·     ·    ·      0      ·      Y     ·  /auth/sign-in
      278   163   1     ·     ·  none    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
      441  5744   1     ·     ·  pill    Y       ·    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6185    21   1     Y     Y  none    Y  204206    Y       ·     ·    ·      1      ·      Y     ·  /auth/sign-in
     6206    58   1     Y     Y  none    Y  204206    Y  204206     ·    ·      1      ·      Y     ·  /auth/sign-in
     6264   152   2     ·     ·  none    Y  204206    Y  204206     ·    ·      1      ·      Y     ·  /auth/sign-in
     6416  5790   2     ·     ·  pill    Y  204206    Y  204206     ·    ·      1      ·      Y     ·  /auth/sign-in
    12206    65   2     Y     Y  none    Y  204206    Y  204206     ·    ·      1      ·      Y     ·  /auth/sign-in
    12271    67   2     Y     Y  none    Y  204206    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12338   122   3     ·     ·  none    Y  204206    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
    12460  5746   3     ·     ·  pill    Y  204206    Y       ·     ·    Y      1      ·      Y     ·  /auth/sign-in
  "Working…" total 265 ms, longest single run 67 ms

